Team,W,L,GB,Color
Golden State Warriors,44,20,0,blue
Denver Nuggets,42,21,1.5,navy
Houston Rockets,39,25,5,red
Oklahoma City Thunder,39,25,5,DodgerBlue
Portland Trail Blazers,39,25,5,red
Utah Jazz,37,27,7,ForestGreen
San Antonio Spurs,37,29,8,gray
LA Clippers,37,29,8,blue
Sacramento Kings,32,31,11.5,purple
Los Angeles Lakers,30,34,14,yellow
Minnesota Timberwolves,30,35,14.5,navy
New Orleans Pelicans,30,37,15.5,red
Dallas Mavericks,27,37,17,navy
Memphis Grizzlies,26,40,19,MediumAquaMarine
Phoenix Suns,14,51,30.5,purple
